name,tag,region,rr,rank,puuid
lnai,uwu,ap,119,5152,2c27a7d4-9614-54dc-98e4-28cf94bd2da6
active aero,cyjen,ap,119,5173,39b0eb02-9a31-56d3-a649-c0f96b387283
Wishes,12000,ap,119,5194,dbe50ff9-5747-5b7a-89cf-f9455f634863
姐姐 我喜欢你 我想你 我爱你,每天见,ap,118,5205,15387fa5-cc47-5c37-977a-34cb7a4db16d
ChaS2r,ASIA,ap,118,5209,4c50a801-087f-5fc7-9147-fdd30cfddda0
Dead Frontier 2,DF2,ap,118,5228,7745badf-3522-5895-b7b3-e744635e5e22
Misatuu407,Rem,ap,118,5232,8ca4857c-cc98-5ce5-83f6-062ac99e7323
곧 40대 아저씨,늙기싫다,ap,117,5249,1ee7566f-7b85-59e4-a9e1-cf86ddf73efb
プロサッカー選手,397,ap,117,5295,c9e23c99-79d2-5cc3-94bc-2618831599ba
Hasagiii,6990,ap,114,5399,24303f67-cf78-50bd-b150-db84a3d93ffe
ねこがねころんだ,2222,ap,114,5408,4aabfc04-5ec2-594c-85b1-e8ee9e824c4d
Hyeno,123,ap,114,5430,88e7e442-6bf9-5d61-84a2-6fd75483628b
AGT Kyokai,kiyoo,ap,113,5472,6970738a-782d-5c6c-a0f7-156a4beaedc8
I lost her,hers,ap,112,5510,3c75734a-429a-5656-80d6-7f505db9a2f0
Asuka Langley,DRX,ap,112,5536,0d84c326-0d4b-5583-bb22-58bbdf11e0aa
mini pekka,crash,ap,111,5557,42e63f3d-9661-508b-beca-2ec899e39233
我叫石井兰,MaRs,ap,111,5572,3476c4b3-5e28-5a15-8fac-b5f0117eee49
Kahlúa,OPALL,ap,110,5635,14616a4c-8fdc-5d37-819e-add736ba8f81
あびちゅん,91856,ap,109,5652,83918e96-a07e-55c3-82cb-e0a419bfcc25
Лисы,NWB,ap,109,5663,8440f512-e4b3-5562-b306-b9318c46aa07
wong,Mayo,ap,109,5703,5b2349ae-f144-54cc-be62-acda4c791097
WHATS THE MOVE,000,ap,108,5727,26c09c94-fa5d-582a-8289-01e338893cd1
howtokill,srmb,ap,108,5748,dd3edfef-96de-5f23-ab66-04bc637ef87c
おしりかじり虫,yummy,ap,107,5782,63a1f738-5249-5f36-9b23-a9ac4da2c60f
retiredmoth,Moth,ap,107,5805,8b5c1fc8-d647-575d-a5b3-dc91a4dfab24
S L U S H Y,feekz,ap,106,5833,cd054753-8b9b-50c8-8e0a-9a68af1dda8b
