name,tag,region,rr,rank,puuid
uto,tina,eu,558,309,4a24121d-1ebd-5df8-abbe-e0ed779863dc
Xunway,979,eu,558,310,e925e045-437d-533b-ab92-a377fd2f90ac
ING CRISRONALDO,EEARS,eu,557,311,5f690d85-059e-5dd2-882f-f2499b1dd836
Teca,Yuki,eu,557,312,97b10070-9e67-5ef6-908b-e7f8e35fc570
BARÇA globeX,meow,eu,556,313,f06df13e-a05d-592a-a419-7f9fd63792ee
Rensz,1907,eu,556,314,c9a1393b-7247-5614-8024-056144d5f358
GlowwUK,EUW,eu,556,315,1047ceb0-00e0-5f7e-8fde-c7dac59cb77b
jusdrein,mafia,eu,556,316,76867d32-506e-5bc5-9d50-f81a4621cbad
,,eu,556,317,
ALMANYA FARESI,VOID,eu,556,318,1653a618-05de-5a17-b6d9-0a48ef987fd9
sauce,yurrr,eu,556,319,bad1505f-78cb-5134-a4c4-b570f0055fce
,,eu,555,320,
spl1ca,god,eu,555,321,31c1391a-20bc-58a4-a30f-568e7ff41ee6
,,eu,555,322,
vrtl,zzz,eu,555,323,e1a689a4-35aa-571a-bea3-93e2a4426795
,,eu,555,324,
,,eu,555,325,
raTx,333,eu,554,326,b98898c5-1386-5ab4-8205-91a7b39b4a16
hytAIM,1769,eu,554,327,bfc65936-7c2d-5fd1-969f-9ef6188e22ed
chrollo,1127,eu,554,328,22ef19ee-f651-5baf-a429-aed27b7b3187
UCAM OLIZERA,1337,eu,554,329,d1272690-d61c-564b-8153-fc32ea58f44e
akahoshi,amy,eu,554,330,06a48b7e-d019-5f60-8249-cec25bd59f20
OKok,1022,eu,554,331,f850fc2a-8255-5abb-a5f4-aab491037f3c
Spuhgetea,1035,eu,554,332,1b6222ba-b6e1-5464-80a0-565c86f64d90
TH Wo0t,Limоn,eu,554,333,1914effc-8e75-5c88-9fc0-3431d6ebecfa
SR ada,000,eu,554,334,77e6048c-3517-592c-a713-06ef7c6efe2e
Ak1i,111,eu,554,335,33daf90b-52d4-511f-b20c-376cb9d6a91e
KNGL CLADM,KNGL,eu,553,336,9fd058f1-5684-502b-b493-e9f3900b0000
AlphaQ,Okii,eu,553,337,d31108ed-32e9-53bf-a460-368c6300d07f
